samplename	purity	ploidy
04aa6b77-8074-480c-872e-a1a47afa5314	0.52	2.8798
04b570c2-3224-4e9b-81cc-089b4a7ff07a	0.95	1.9293
04b9837e-9ab5-4eb9-9a9c-ef49e3a62662	0.94	3.6986
04c09376-8756-41d9-bbca-f464170a8cfb	0.89	2.7922
04db8bef-8777-48ac-bc2e-3c9acb103f48	0.46	2.6118
05070acd-3ec1-44bb-9c32-26d3a483a72a	0.54	1.7792
051cb117-16fd-459e-81e5-002eca2b7eea	0.82	2.7527
052015bc-8c24-467c-8ff7-9e0dc4ad39fd	0.63	1.8818
052665d1-ab75-4f40-be5a-b88154c8beed	0.9	2.9584
05486349-24a4-4931-bf5f-c9fefe369af2	0.73	1.7487
0554ffe5-31f7-43f5-8372-2b73c9cf3527	0.42	3.0551
05616329-e7ba-4efd-87b1-d79cd0f7af3d	0.71	2.0318
0567d3e6-6278-4d0a-81ae-c084d73c6dd3	0.94	2
05780d48-80e7-4d70-b00c-081f8a9519f2	0.56	2.0655
05c487aa-72d8-42e6-aa2b-b9b5ce273f5c	0.92	1.9576
05da3161-1444-4188-914d-19762de3a443	1	1.9301
06018aae-1107-4899-bd24-14e6b1f94709	0.69	2.0006
0609b182-0396-4755-b463-10f949c5b8bb	0.99	1.9702
0624eb1d-3aff-4037-a3c5-fc363a9edd02	0.9	1.9788
062e96d4-c623-11e3-bf01-24c6515278c0	0.38	1.9532
063cfacf-9933-4a2d-8921-0aeb76e12779	0.6	2.024
0664753b-7566-41e0-8006-7009c6735406	0.88	2.0244
068f4f69-d2fe-4f25-912e-ca7d4623efb6	0.51	1.9945
06dad93a-4b67-49b3-8fa5-f2546e22bae7	0.79	1.9686
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	0.72	1.9613
072f4146-c623-11e3-bf01-24c6515278c0	0.97	1.9239
074fd614-5d9c-4bcc-96ad-351aa14387e3	0.61	2.0171
07531318-87e8-4db8-aa61-9b93597d063b	0.97	1.9204
075fc96d-6742-4ef3-9369-482592ad3a2f	0.4	2.0435
07835447-5d7e-4828-80fd-89b063989c9a	0.76	2.0796
079bcb09-a075-4313-9a3e-dd67734a8c5d	0.65	3.1175
07a7c634-bd9a-4fc2-b9fe-87b060ec3d1f	0.75	1.9825
07b5141f-ac79-439b-883b-b0183bbe7ff5	0.55	1.8289
07d20658-3db4-47e7-877b-66536266edfc	0.94	1.7379
07e0e938-f61f-477a-92a2-5b7e74b78943	0.55	2.5899
07f16397-71bb-4594-ad4d-caa7d2baeabd	0.28	1.8783
080ecc31-756a-4a1b-a51e-d632ac8219f7	0.5	3.7196
08227616-02a5-46e8-9db1-f2d1d691ab23	0.32	3.4683
0831e45e-c623-11e3-bf01-24c6515278c0	0.89	2.1558
089be98d-c3c9-4fb4-aef2-7a8578a91d51	0.7	1.8847
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	0.66	1.8429
08b5d0e4-4661-460e-a9f7-f2e687414711	0.85	3.462
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	0.73	1.9302
08e1d976-6c39-428e-a4c2-f655b675683e	1	1.9285
08f7812b-0d74-42ba-985b-d0a027e8a80c	0.86	1.9249
09497b9b-6fca-48cb-af97-161a3e434a51	0.25	4.4973
09508a0d-ebe0-4fa1-b7b2-1710814181cd	0.7	4.2704
09537dce-c797-4b60-962a-d4c3cd6ab00a	0.96	1.5949
0972bfcf-c6c6-48cc-b820-cdfa6279a4f3	0.67	2.8485
097a7d36-905b-72be-e050-11ac0d482c9a	0.71	1.8768
0980e7fd-051d-45e9-9ca6-2baf073da4e8	0.47	2.016
09bc8542-4ea1-4599-91b3-d606425b37e2	0.63	2.7833
09cb8bc5-13ac-44ac-9b7d-6de143373570	0.79	3.589
09e1fe3e-bfd8-4175-ac42-0e1bf0ba5523	0.94	1.9413
0a6be23a-d5a0-4e95-ada2-a61b2b5d9485	0.36	1.8802
0a9c9db0-c623-11e3-bf01-24c6515278c0	0.56	3.8301
0ab4d782-9a50-48b9-96e4-6ce42b2ea034	0.88	2.0186
0ae2193f-0d68-485a-b8c2-7568cbcce33e	0.88	2.0663
0b19bee7-5281-4915-9d98-c20eb3e84ecf	0.86	1.9668
0b29c893-03bf-4131-b192-c14a2788d411	0.79	4.2746
0b6cd7df-6970-4d60-b7b5-85002a7d8781	0.96	2.0173
0b811c6a-8f05-44bd-ac33-fb720d189e71	0.62	2.0027
0ba8f2e2-935a-4123-86aa-6e7f5de85bf4	0.48	1.9378
0bafd9ae-64b3-492d-a6fd-12aa8edefcbe	0.56	1.914
0bbc7ede-5022-4084-925c-d65baaf7abc2	0.83	3.0644
0bd3a230-531e-44aa-9999-b8ed8da0176b	0.36	1.9365
0be08326-c623-11e3-bf01-24c6515278c0	0.46	1.8868
0bfd1043-5142-3662-e050-11ac0c486501	0.89	2.7629
0bfd1043-70fb-d2dc-e050-11ac0c4860cb	0.68	2.7296
0bfd1043-7343-fdd0-e050-11ac0c484cab	0.32	4.5915
0bfd1043-7344-fdd0-e050-11ac0c484cab	0.93	2.2059
0bfd1043-7346-fdd0-e050-11ac0c484cab	0.91	3.6632
0bfd1043-7ebf-aaec-e050-11ac0c482f39	0.92	2.3339
0bfd1043-7ec1-aaec-e050-11ac0c482f39	0.85	1.9716
0bfd1043-7ed6-9ccc-e050-11ac0c481957	0.78	3.3974
0bfd1043-816e-e3e4-e050-11ac0c4860c5	0.87	2.1837
0bfd1043-8170-e3e4-e050-11ac0c4860c5	0.9	3.3236
0bfd1043-8172-e3e4-e050-11ac0c4860c5	0.85	3.5212
0bfd1043-8173-e3e4-e050-11ac0c4860c5	0.93	3.6625
0bfd1043-8175-e3e4-e050-11ac0c4860c5	0.89	3.6557
0bfd1043-8177-e3e4-e050-11ac0c4860c5	0.76	2.0349
0bfd1043-817c-e3e4-e050-11ac0c4860c5	0.88	1.9726
0bfd1043-817e-e3e4-e050-11ac0c4860c5	0.8	1.9914
0bfd1043-8180-e3e4-e050-11ac0c4860c5	0.88	2.0737
0bfd1043-8181-e3e4-e050-11ac0c4860c5	0.91	2.0632
0bfd1043-8183-e3e4-e050-11ac0c4860c5	0.85	1.9655
0bfd1043-8187-e3e4-e050-11ac0c4860c5	0.85	2.0762
0bfd1043-8189-e3e4-e050-11ac0c4860c5	0.7	2.8718
0bfd1068-3fc3-a95b-e050-11ac0c4860c3	0.89	3.5316
0bfd1068-3fc5-a95b-e050-11ac0c4860c3	0.62	1.9909
0bfd1068-3fca-a95b-e050-11ac0c4860c3	0.8	2.016
0bfd1068-3fcd-a95b-e050-11ac0c4860c3	0.83	2.0358
0bfd1068-3fcf-a95b-e050-11ac0c4860c3	0.77	2.0559
0bfd1068-3fd3-a95b-e050-11ac0c4860c3	0.26	5.909
0bfd1068-3fd5-a95b-e050-11ac0c4860c3	0.81	1.9958
0bfd1068-3fd8-a95b-e050-11ac0c4860c3	0.83	2.3724
0bfd1068-3fdd-a95b-e050-11ac0c4860c3	0.91	2.3607
0bfd1068-3fdf-a95b-e050-11ac0c4860c3	0.89	2.0836
0bfd1068-3fe1-a95b-e050-11ac0c4860c3	0.87	2.0328
0bfd1068-3fe4-a95b-e050-11ac0c4860c3	0.81	2.735
0bfd1068-3fe6-a95b-e050-11ac0c4860c3	0.95	2.0917
0bfe2ac9-0aec-c248-e050-11ac0d487e1c	0.79	3.34
0bfe2ac9-0aee-c248-e050-11ac0d487e1c	0.83	3.3987
0bfe2ac9-0af3-c248-e050-11ac0d487e1c	0.86	1.9567
0bfe2ac9-0af5-c248-e050-11ac0d487e1c	0.9	2.2446
0bfe2ac9-0af8-c248-e050-11ac0d487e1c	0.9	2.2568
0bfe2ac9-0afa-c248-e050-11ac0d487e1c	0.76	2.8461
0bfe2ac9-0afd-c248-e050-11ac0d487e1c	0.81	2.6447
0bfe2ac9-0aff-c248-e050-11ac0d487e1c	0.8	2.9015
0bfebf9f-c779-e57d-e050-11ac0d487827	0.81	2.2941
0bfebf9f-c77d-e57d-e050-11ac0d487827	0.83	2.0686
0bfebf9f-c77f-e57d-e050-11ac0d487827	0.89	3.6494
0bfebf9f-c781-e57d-e050-11ac0d487827	0.81	2.7439
0bfebf9f-c783-e57d-e050-11ac0d487827	0.67	2.6911
0c0038ff-6cc4-b0b0-e050-11ac0d483d73	0.92	2.2417
0c0038ff-6cc6-b0b0-e050-11ac0d483d73	0.89	2.2403
0c0038ff-6cc8-b0b0-e050-11ac0d483d73	0.75	2.824
0c18a8b7-bad1-4aa4-a6df-472f89d9761c	0.91	2
0c39c03a-ec84-42c6-be69-8e98bc7a9f5a	0.82	3.5772
0c7aca3f-e006-4de3-afc2-20b4f727d4fd	0.58	3.529
0c8f7e63-7a3e-42e8-9408-c5cbd2f52f9d	0.79	1.9296
0c9a5dbc-f7f3-43e7-83d1-77b9fb4b8b54	0.24	1.924
0cb4356c-b5d6-4541-b048-ff6d4b3a5d26	0.63	1.9069
0cd60b96-eb2d-4687-9709-d1455ec45de7	0.21	3.0249
0cdbabf2-c623-11e3-bf01-24c6515278c0	0.39	3.527
0ce6f3ed-bdbc-4b70-9db4-2e48f4bf644d	0.26	1.949
0cf9bbc2-cbd5-4b64-8d90-cfa416307b39	0.65	3.7115
0d0793c1-df1b-4db1-ba36-adcb960cc0f5	0.74	3.3146
0d259ac2-03d1-4814-9b0b-d05e3a6029b7	0.44	1.8872
0d31a44f-1fc5-43a2-9633-36c4e650d3d2	0.86	1.9705
0d569bd5-418d-4d72-87ca-8e14668c2119	0.86	2.1165
0db9309e-7b95-4ae3-b0ed-dfd4f38d11b0	0.98	1.8758
0dd0718d-5ddf-4c59-8c47-0f51303daeb5	0.86	3.4479
0dd39eca-c623-11e3-bf01-24c6515278c0	0.79	1.8783
0e1e628b-823a-4861-aa95-bed2fada7349	0.99	1.9138
0e54cea2-d568-4a33-b9db-b698844e6ad9	0.25	1.8493
0e6654c9-cd5e-4f94-a6d4-54f2bb16de1f	0.32	3.0667
0e6ca8dc-0f31-4675-95b1-5920576daeff	0.71	2.084
0e7ac212-0469-4f17-9432-205ab1831257	0.6	3.2514
0e7f46ca-6f5c-4538-b6d6-00af65d57fcf	0.69	1.9213
0e872e0d-4711-4364-a5d0-6beeb6fd3ff2	0.65	4.4945
0ead45d8-d785-4404-8319-2ef951e02e03	0.46	3.253
0ed2e2e1-2fe3-43eb-8cad-34f3f21a7169	0.39	1.9253
0ed63d84-d3fe-4289-9255-35f4a03b703b	0.75	2.0717
0eeafcd6-c623-11e3-bf01-24c6515278c0	0.62	1.955
0ef92ff8-829f-425a-91d8-c594b6e22a2b	0.44	2.9889
0efb6e20-236d-4640-9373-6fc03e67d090	0.17	1.9476
0efee3f3-313b-44eb-b3b0-af975a1ded82	0.93	1.8079
0f53e757-1823-409f-a0ea-249270728e15	0.82	1.9778
0f6b355e-3898-4be6-be97-da0c3840a4ed	0.45	3.9652
0f9e70b3-24cf-4d76-af7b-84ace66ec5a7	0.24	3.0593
0fa9cfba-0f49-47d0-ab54-9dd2144e0a73	0.69	1.9691
0fbd94b1-bb34-4620-841b-861a0b5e0c12	0.43	3.2901
0fc63b79-7fff-441d-88fc-922d53c787ab	0.15	4.7561
10136472-c623-11e3-bf01-24c6515278c0	0.63	1.9259
1021b60d-f7b2-43b0-b2cc-f282d619d533	0.73	2.221
105a51c4-cc7e-4d0f-9cf8-e4d64a31d14d	0.87	1.8824
108749d2-5c62-4ef1-92df-aec6941ba53b	0.94	1.6533
108b67d4-5d66-46da-8675-6acae643b76f	0.5	1.8799
10ad692b-4c3d-42de-9b5e-4968441388b3	0.85	2.1437
10bb1a92-901e-4a14-80f4-5e88f997754b	0.84	2.3553
10cb8ac6-c622-11e3-bf01-24c6515278c0	0.68	3.2676
10d15b7a-16d1-4953-aaef-f193ffa97f42	0.38	3.9043
10db2142-c623-11e3-bf01-24c6515278c0	0.92	4.3032
110b5f05-ded7-45ec-b0f6-a941c92d77dd	0.47	2.7643
1127b561-ea40-4d5e-95df-daa0a5ebc1e4	0.69	2.0228
11473a98-d953-45f9-abf5-709b68a4bae8	0.74	2.0176
1157a548-6770-4c89-a84c-bcf6f0e96ea8	0.73	2.0914
1168944c-5451-4a18-8758-88bf5723bdd9	0.48	2.0328
1193a9c4-5aab-4cd7-a690-60c96bd1172d	0.97	2.0437
11ae45fb-05f6-425a-9295-d50d13407006	0.67	2
120f01d1-8884-4aca-a1cb-36b207b2aa3a	0.59	1.8606
122bf0a9-8052-49da-a9d7-0e5de9ab7032	0.55	1.9021
123c9d1c-72ba-4d82-8e57-d5caa52a40ba	0.77	3.2173
124d5b04-4588-44c3-9c00-61e064cf1bdb	0.86	2.1821
126ee433-d345-4cac-882a-c91831a24690	0.34	1.9215
127b0f7d-d24e-48b7-ac25-d3f14a43952d	0.92	1.8124
12874085-a596-41ae-b4cd-817cb1ebb278	0.57	3.3818
1292e13b-d7c6-447b-a227-9a8113215580	0.95	3.0945
129459c1-38be-45da-bb87-18848c97c544	0.78	1.8647
1295947c-c623-11e3-bf01-24c6515278c0	0.91	1.9841
129d2c6c-6688-4b29-bfa7-8df3fe77b25a	0.69	2.0006
129de5b2-d9b0-4762-9ef8-72d98231fb50	0.9	1.6287
12ae2ba1-9484-47fe-8a3f-bba94a6abe0c	0.99	2.451
12d7121a-0345-4808-a819-09d6e3227bd5	0.88	4.4761
12f038e1-00af-4c64-a2e0-9e63323492ef	0.68	2.725
12f1ae2f-2666-45be-9742-f502d212373d	0.27	2.0502
131332b2-ff51-4bd7-a626-aff2ecea6135	0.28	1.8879
1327bbd4-a466-4e26-905f-cf91315f1cc8	0.47	3.8971
132f7f2a-b902-4343-aa08-cf6a7af10b9a	0.99	2.0003
13446fc4-9fa6-4bb3-a00a-b9265b41eb12	0.99	1.963
134c9a92-e91e-4347-a9c4-727279edebb1	0.63	1.9096
1358ff92-4db9-4e42-b63a-984a7bea425a	0.65	2.0006
13642cf8-9840-4a7d-a26a-95f65b2c70c3	0.91	1.9308
13bd2b30-c623-11e3-bf01-24c6515278c0	0.41	1.8699
13c312ec-0add-4758-ab8d-c193e2e08c6d	0.53	3.6925
13c62975-9f5e-4d40-a461-dceab08a31ec	0.87	2.0455
13c7065e-6780-4571-978e-a7c13078ff50	0.98	1.8941
13d05f7a-e16a-40ef-9a15-21257da2cf89	0.43	2.1516
140d5fa9-afbe-444e-a7e7-6a4cb4ab2923	0.68	2.162
140d6ef7-0217-4d16-9add-215d0d14ba06	0.51	1.9481
141918cd-3e23-45bc-96e1-b208c80f69e7	0.54	1.9078
142b6dbf-c943-4a7d-8ab6-13a975f48d7a	0.71	1.9767
14334aea-2dae-428c-9d4a-1a37878dfc3f	0.64	2.5213
1447c8cb-25d4-4092-8919-4df08f898d2d	0.51	1.7453
145f2b89-8878-4390-b0f6-f09b02fb138a	0.57	2.1569
145f6dbb-9744-44f7-8485-e440689de3fd	0.67	1.8232
14630c19-9ee0-4ab3-9d8b-8c3309d1e7d0	0.47	3.8948
147e3496-514e-4da7-be42-7cd9be78ed04	0.89	1.9313
148536ce-ee2a-4952-a19d-10d6f44146b9	0.73	3.059
1494bb16-f1f0-42a4-b10e-c383574cbc8b	0.32	2.003
14b8bbf2-310b-459b-b52d-a7ef510ce1cf	0.68	2.714
14bf9bfb-14d6-4cac-a556-828f680e8a15	0.44	3.1973
14c5b81d-da49-4db1-9834-77711c2b1d38	0.75	1.9876
14cbcbb1-028b-471a-bb4f-8b29cfa5e4eb	0.98	1.9298
14dd86c1-dfb3-4124-a453-4d64223bc048	0.34	1.896
14ed7388-41ed-43d4-afb2-04cd6410d5d2	0.94	2.6821
14f41457-25c3-4979-8515-4f33322039a5	0.49	1.756
153a64ee-6322-4f2e-b3df-77ef7d3a4cf0	0.62	3.6232
154f80bd-984c-4792-bb89-20c4da0c08e0	0.68	1.9997
15563a10-47a8-401d-a507-2c7101f7ae60	0.9	2.0056
1558629a-770a-4dcb-b0bf-9a8bcea9d80b	0.71	1.8565
155873b2-e5de-405f-87f6-6de0d238b160	0.46	1.8714
15678c3d-ce61-454d-849e-1d4ca358909b	0.72	2.0908
15895218-c623-11e3-bf01-24c6515278c0	0.85	2.9039
15a93657-0521-430a-a816-bf0842374b75	0.63	1.9374
15abb2a3-10a2-4e04-8eb9-6eadbd976af0	0.77	1.9999
15d597de-d26c-4ce1-b0cb-077e39b55f30	0.87	3.3797
15daadb0-6b24-4248-9225-470dc08f1552	0.81	2.1332
15dd024e-c0da-461a-84db-d01e60a22210	0.3	1.9694
15e097e3-e468-466c-8e57-b59fba90bbf2	0.17	1.9957
15e7d981-8c27-4b2b-b4f8-626e22021895	0.9	2.1776
15f90ef0-831b-40a3-98bd-ec226a9e8b26	0.78	1.7535
15fd8dc8-c622-11e3-bf01-24c6515278c0	0.68	1.7474
1659bae5-3140-4d05-891c-81b48277b2fc	0.65	2.9314
16c6f975-48fd-4cda-946a-777cb922949d	0.89	1.8918
16d33e09-2e21-4da2-8e57-e78ce28c4408	0.91	2.7251
16d5519e-ecb9-4fc8-81f1-e0e4adf722a8	0.55	2.957
16df7888-2480-4394-8856-d57a6ef371d2	0.85	3.3455
170ad241-9e24-469b-b7ca-3fd783a89b21	0.89	3.0826
1727e88b-df0a-4af2-9191-8c6061d98ad0	0.24	3.2141
172c9864-c26d-4e9b-947a-e8ce761e996d	0.17	3.3655
1776f326-b12f-4355-8107-80fa6fcd2159	0.74	1.7658
178d0486-cb0d-4979-8bdf-bb3fe99149bd	0.53	2.0001
17a66d24-de77-4f2a-a8ad-d2c6a69e7671	0.6	2
17de5b12-c623-11e3-bf01-24c6515278c0	0.8	2.0158
17ed8831-a261-42d9-8ff3-cf75a6cb2a24	0.7	3.1513
183b04f5-107f-496c-8e9a-8263dd00cffa	0.44	2.7539
186cacaf-4f20-4ad2-a07a-a7dc942a70b0	0.52	1.903
18ec066e-8510-4921-9e35-45d85fb01e38	0.6	2.2405
18f5e75e-c623-11e3-bf01-24c6515278c0	0.83	1.9832
18f9240e-7acd-41eb-a154-c2a67a1cbe9b	0.99	1.9483
19085f7d-e6a6-406f-bd09-520a27e0283d	0.47	1.7859
190eb791-383d-4e27-870d-e470630843e7	0.58	3.5306
19233fd1-5229-466e-acf3-5882165758e0	0.79	2
1924d200-6929-4eef-8a7f-317f8fbab915	0.45	1.906
199bbb0f-996c-40c1-b06d-2066f04be778	0.88	2.0833
19aa8223-ee84-4b5c-b11a-6ca2a2680b3c	0.95	1.9212
19b6b9d6-6912-4b85-a4bf-52014bcb170b	0.99	2.3232
19c1c97f-a3ec-44a8-8a20-6f97caed1a4f	0.92	2.1039
19cd4360-8392-4bc2-ae88-fdc1335d886b	0.88	1.9913
19d6cf34-1cd7-4242-a4d1-5d3e11f428aa	0.91	2.2634
19def402-fb8d-4b27-90dd-ce9135a3c0a2	0.79	2.0485
19fe27d8-c623-11e3-bf01-24c6515278c0	0.9	1.9637
1a0ef226-41a5-4b56-9078-4b7834f0c976	0.83	3.4119
1a134c18-ced3-4bae-9f15-5f0f09526639	0.76	1.9486
1a319682-f55e-4e0b-8476-48a0bea6c265	0.54	1.8963
1a391468-fbf3-451a-b88e-a257a26d047f	0.34	4.2723
1a4633c4-72a0-4e30-8c4c-345e04337627	0.48	1.9781
1a5bf97e-3d49-4d3f-b385-ffa7a295be9c	0.91	1.8629
1a841850-fca0-48ab-8c78-db0bd5a64435	0.29	2.3266
1ac15380-04a2-42dd-8ade-28556a570e80	0.96	1.8423
1ac54c6e-a1e4-4f3b-b4a5-cdb327e0dca6	0.56	2.021
1aff91a6-1b0f-4575-8f4b-4e064a50b886	0.66	3.4903
1b06afe2-c623-11e3-bf01-24c6515278c0	0.3	1.9976
1b0fe1d5-b286-4f49-ae92-94d9c6db9657	0.92	1.9231
1b1780d5-06da-40ee-9e15-02631a68027b	0.91	1.8875
1b7838c9-c685-41c3-b184-a2e40c7c4dc7	0.87	1.4363
1b8fe07d-859c-4d91-ade1-6b2bcb5774ce	0.65	1.9644
1bb2bdb7-8a89-4e7d-903d-03a6f8018efb	0.55	3.2005
1bb3a1c7-4d7b-4fb6-b54d-e94cbd0e32aa	0.18	2.053
1bbb522d-e224-4b3f-9e10-3a47d06b2b05	0.63	2
1bbfe6f2-ad19-4d29-895b-973f5a91c707	0.68	1.8473
1bd47e40-d708-4ca2-b4b3-eb8d996c916b	0.34	1.9277
1bd74f92-47f6-427e-af6f-299c3a7fe023	0.98	1.9738
1bdfaa8a-1b7e-4251-b135-ce5e4568371b	0.97	1.9347
1be81ade-7ad6-4e7e-90d0-f986b3fb0a25	0.39	1.901
1be8fa2c-8fea-4e8c-90db-c04d9fcdbf49	0.75	2.7727
1bea3a72-3b73-4072-a6bb-96a90119d3ac	0.51	2.9156
1c00925b-7328-4db0-b930-04aab2d80719	0.88	3.5161
1c0e384f-7254-4afe-93c0-b3fc6c6a7894	0.84	3.8157
1c10ab52-01a3-11e4-8395-af1f6b7ba88c	0.93	1.9422
1c188bf5-2c99-4eb4-a774-59c75d53e643	0.84	2.8765
1c1c6494-c623-11e3-bf01-24c6515278c0	0.64	1.9471
1c28e44a-6e6c-44ed-b58a-e3262c0e6759	0.64	1.9515
1c300960-e51c-4477-8fdd-026c7e545dc4	0.56	1.9492
1c3df485-8e75-4378-87f6-c6463a520624	0.7	1.7188
1c9fbe26-1447-4335-aaab-06d6bb3e2741	0.36	2.9896
1cb25b72-3726-4f12-9e22-f5c7e4b05681	0.93	2.2895
1cd0acf2-3116-4dfa-a063-0a435b9f6da3	0.97	3.904
1d0617e8-2725-4411-b50f-e46ea1d43242	0.88	1.9995
1d1eeba2-4d7b-4380-b0b6-26d246bc4158	0.64	1.9997
1d2d355a-8409-4c8a-9f07-ac62885e228d	0.35	4.4834
1d325d84-a3a0-4802-9842-76cb21cecb1c	0.65	2.2089
1d4a091d-fe65-49c0-8810-5a95243b108a	0.75	3.2789
1d6c9181-a02f-4c35-85b3-65dc5808f50e	0.2	1.8487
1d91f9c7-67ba-4606-9f0a-01ec6fc08262	0.56	1.8728
1d97ba51-d981-4986-9f71-c2b6cb9961c3	0.59	2
1daefc49-5248-4948-87ce-0ec19a248ef9	0.63	3.544
1db83e80-bdf7-4d8d-8008-bd8406d641fc	0.41	2.0426
1dbdbb2c-c623-11e3-bf01-24c6515278c0	0.57	3.6418
1dc9e7fd-fc62-4b32-9619-4e02a266a385	0.91	4.1083
1dd96495-5f83-4d36-96cf-b77cd0cbbfda	0.97	1.9303
1de83d45-8492-4b83-9055-a9f43b823f91	0.99	1.9295
1df8939c-c622-11e3-bf01-24c6515278c0	0.54	3.299
1e046ab9-fa4c-4c15-8d78-ed0048c80ebf	0.61	3.0277
1e181878-c640-4e91-a620-3fc4b08a4de1	0.52	1.9464
1e27cc8a-5394-4958-9af6-5ece1fe24516	0.8	2.0545
1e2dcbcc-771c-43c5-8c8d-e0eb77cb3494	0.63	2.7685
1e8ae8dd-74c1-44d5-a74e-bfdce801c736	0.72	3.3579
1ea7e01c-c623-11e3-bf01-24c6515278c0	0.29	2.1521
1eb1bc62-18f6-4bcb-a16d-aa6a91914031	0.78	1.4128
1eb37b28-fac2-477a-88b3-e04291a07926	0.52	3.8252
1eb62abc-7928-405b-84cc-f091ca5347b2	0.63	3.0284
1f04210a-0c2e-4bb8-ac8e-86198e5f1d34	0.5	1.8898
1f2a8889-4374-4037-bb56-0f20733380e3	0.59	2.9332
1f5e70c1-c5de-49e7-941a-46e11a4f4416	0.37	3.8671
1f81a1b0-8089-44ef-87b5-b3359a407ad2	0.31	3.0213
1f8d8720-30ca-4057-90f7-a34b8383eafe	0.98	1.9997
1f967003-82d6-4932-a445-24fc25723594	0.41	3.4305
1fd69adc-c623-11e3-bf01-24c6515278c0	0.64	2.0472
1fdab6a6-7346-4229-aa8d-5dbd258f0c60	0.42	3.9353
1ff155dd-deb4-44e0-b3a2-e4875b618435	0.38	1.8646
1fff8b62-534b-4d71-a65f-e5f93b8b50ed	0.52	2.938
2009e5e7-1796-445b-8677-46b3804fe0bf	0.86	1.9645
2045c788-9ea8-4ea5-a5e3-65fc16a62adb	0.42	2.7392
207f8a42-5b05-4876-b0ae-ebfaeea27844	0.67	3.4464
209a9b10-7129-48fe-a899-d14ba17efe6f	0.95	2.5059
20d1b88b-3ff6-4201-a748-6a993500c652	0.46	2.3062
